Hierarchy Level,Metric Name,Metric Value
3,Microcode Sequencer,0.0
2,Front-End Bound,0.0
3,Front-End Latency,0.0
4,ICache Misses,0.0
4,ITLB Misses,0.0
4,BACLEARS,0.0
4,Branch Resteers,0.0
3,Front-End Bandwidth,0.0
4,Cisc,0.0
4,Decode,0.0
4,Pre-Decode Wrong,0.0
4,Front-End Other,0.0
2,Bad Speculation,0.0
3,Branch Mispredict,0.0
3,Machine Clears,0.0
4,Machine Clear,0.0
5,SMC Machine Clear,0.0
5,Machine Ordering,0.0
5,FP Assists,0.0
5,Disambiguation,0.0
5,Page Faults,0.0
4,Fast Machine Clears,0.0
2,Back-End Bound,0.0
3,Core Bound,0.0
3,Memory Bound,0.0
4,Store Bound,0.0
4,L1 Bound,0.0
5,Loads Blocked by Store Forwarding,0.0
5,Load STLB Hit,0.0
5,Load STLB Miss,0.0
5,Other L1,0.0
4,L2 Bound,0.0
4,L3 Bound,0.0
4,DRAM Bound,0.0
4,Other Load Store,0.0
2,Back-End Bound Auxiliary,0.0
3,Resource Bound,0.0
4,Memory Scheduler,0.0
5,ST Buffer,0.0
5,LD Buffer,0.0
5,RSV,0.0
4,Non-memory Scheduler,0.0
4,Register,0.0
4,Full Re-order Buffer (ROB),0.0
4,Allocation Restriction,0.0
4,Serializing Operations,0.0
1,Average CPU Frequency,3158911787.967667
1,Total Thread Count,4
1,Paused Time,0.0
0,Effective Physical Core Utilization,6.1% (0.858 out of 14)
1,Effective Logical Core Utilization,4.4% (0.886 out of 20)
0,Collection and Platform Info,
1,Application Command Line,d:\Study\26sp\parallel\hw2\bin\lab1_perf.exe "sum" "superscalar4" "1048576" "4096" 
1,Operating System,Microsoft Windows 11
1,Computer Name,LAPTOP-644S5K5I
1,Result Size,23250985
1,Collection start time,14:34:59 26/03/2026 UTC
1,Collection stop time,14:35:00 26/03/2026 UTC
1,Collector Type,Event-based sampling driver
1,CPU,
2,Name,Intel(R) microarchitecture code named Raptorlake-P
2,Frequency,2995201761
2,Logical CPU Count,20
2,Cache Allocation Technology,
3,Level 2 capability,not detected
3,Level 3 capability,not detected
