Hierarchy Level,Metric Name,Metric Value
6,Store STLB Miss,0.1
7,Store STLB Miss 4K,0.0
7,Store STLB Miss 2M,0.0
7,Store STLB Miss 1G,0.0
3,Core Bound,14.5
4,Divider,0.0
5,FP Divider,0.0
5,INT Divider,0.0
4,Serializing Operations,1.3
5,Slow Pause,0.0
5,C01 Wait,0.0
5,C02 Wait,0.0
5,Memory Fence,0.0
4,Port Utilization,12.9
5,Cycles of 0 Ports Utilized,0.0
6,Mixing Vectors,0.0
5,Cycles of 1 Port Utilized,12.6
5,Cycles of 2 Ports Utilized,2.5
5,Cycles of 3+ Ports Utilized,5.0
6,ALU Operation Utilization,14.3
7,Port 0,38.2
7,Port 1,21.5
7,Port 6,7.2
6,Load Operation Utilization,3.2
6,Store Operation Utilization,0.0
5,Vector Capacity Usage (FPU),12.5
1,Efficient-core (E-core),
2,Retiring,0.0
3,General Retirement,0.0
4,FP Arithmetic,0.0
4,Other,0.0
3,Microcode Sequencer,0.0
2,Front-End Bound,0.0
3,Front-End Latency,0.0
4,ICache Misses,0.0
4,ITLB Misses,0.0
4,BACLEARS,0.0
4,Branch Resteers,0.0
3,Front-End Bandwidth,0.0
4,Cisc,0.0
4,Decode,0.0
4,Pre-Decode Wrong,0.0
4,Front-End Other,0.0
2,Bad Speculation,0.0
3,Branch Mispredict,0.0
3,Machine Clears,0.0
4,Machine Clear,0.0
5,SMC Machine Clear,0.0
5,Machine Ordering,0.0
5,FP Assists,0.0
5,Disambiguation,0.0
5,Page Faults,0.0
4,Fast Machine Clears,0.0
2,Back-End Bound,0.0
3,Core Bound,0.0
3,Memory Bound,0.0
4,Store Bound,0.0
4,L1 Bound,0.0
5,Loads Blocked by Store Forwarding,0.0
5,Load STLB Hit,0.0
5,Load STLB Miss,0.0
5,Other L1,0.0
4,L2 Bound,0.0
4,L3 Bound,0.0
4,DRAM Bound,0.0
4,Other Load Store,0.0
2,Back-End Bound Auxiliary,0.0
3,Resource Bound,0.0
4,Memory Scheduler,0.0
5,ST Buffer,0.0
5,LD Buffer,0.0
5,RSV,0.0
4,Non-memory Scheduler,0.0
4,Register,0.0
4,Full Re-order Buffer (ROB),0.0
4,Allocation Restriction,0.0
4,Serializing Operations,0.0
1,Average CPU Frequency,2256210826.539301
1,Total Thread Count,4
1,Paused Time,0.0
0,Effective Physical Core Utilization,0.8% (0.115 out of 14)
1,Effective Logical Core Utilization,0.5% (0.109 out of 20)
0,Collection and Platform Info,
1,Application Command Line,D:\Study\26sp\parallel\hw2\bin\lab1_perf.exe "matrix" "naive" "2048" "16" 
1,Operating System,Microsoft Windows 11
1,Computer Name,LAPTOP-644S5K5I
1,Result Size,51926956
1,Collection start time,02:04:09 27/03/2026 UTC
1,Collection stop time,02:04:17 27/03/2026 UTC
1,Collector Type,Event-based sampling driver
1,CPU,
2,Name,Intel(R) microarchitecture code named Raptorlake-P
2,Frequency,2995201619
2,Logical CPU Count,20
2,Cache Allocation Technology,
3,Level 2 capability,not detected
3,Level 3 capability,not detected
